index;type;minority_decision;majority_decision
1360;OUTLIER;16=>2;16=>1
1361;SAFE;16=>2;16=>1
1362;SAFE;16=>2;16=>1
1363;SAFE;16=>2;16=>1
1364;BORDERLINE;16=>2;16=>1
1365;OUTLIER;16=>2;16=>1
1366;RARE;16=>2;16=>1
1367;SAFE;16=>2;16=>1
1368;OUTLIER;16=>2;16=>1
1369;BORDERLINE;16=>2;16=>1
1370;OUTLIER;16=>2;16=>1
1371;SAFE;16=>2;16=>1
1372;SAFE;16=>2;16=>1
1373;RARE;16=>2;16=>1
1374;SAFE;16=>2;16=>1
1375;SAFE;16=>2;16=>1
1376;BORDERLINE;16=>2;16=>1
1377;BORDERLINE;16=>2;16=>1
1378;SAFE;16=>2;16=>1
1379;SAFE;16=>2;16=>1
1380;SAFE;16=>2;16=>1
1381;BORDERLINE;16=>2;16=>1
1382;BORDERLINE;16=>2;16=>1
1383;SAFE;16=>2;16=>1
1384;OUTLIER;16=>2;16=>1
1385;BORDERLINE;16=>2;16=>1
1386;SAFE;16=>2;16=>1
1387;OUTLIER;16=>2;16=>1
1388;BORDERLINE;16=>2;16=>1
1389;SAFE;16=>2;16=>1
1390;SAFE;16=>2;16=>1
1391;SAFE;16=>2;16=>1
1392;OUTLIER;16=>2;16=>1
1393;OUTLIER;16=>2;16=>1
1394;BORDERLINE;16=>2;16=>1
1395;OUTLIER;16=>2;16=>1
1396;BORDERLINE;16=>2;16=>1
1397;OUTLIER;16=>2;16=>1
1398;SAFE;16=>2;16=>1
1399;BORDERLINE;16=>2;16=>1
1400;SAFE;16=>2;16=>1
1401;RARE;16=>2;16=>1
1402;OUTLIER;16=>2;16=>1
1403;SAFE;16=>2;16=>1
1404;OUTLIER;16=>2;16=>1
1405;SAFE;16=>2;16=>1
1406;BORDERLINE;16=>2;16=>1
1407;BORDERLINE;16=>2;16=>1
1408;RARE;16=>2;16=>1
1409;RARE;16=>2;16=>1
1410;OUTLIER;16=>2;16=>1
