name;safe;borderline;rare;outlier
abalone;8.059701492537313;34.02985074626866;28.65671641791045;29.253731343283583
breast-cancer_nmo;18.823529411764707;30.58823529411765;37.64705882352941;12.941176470588237
car;47.82608695652174;39.130434782608695;8.695652173913043;4.3478260869565215
cleveland_nm;;8.571428571428571;34.285714285714285;57.14285714285714
cmc;6.906906906906906;46.246246246246244;26.126126126126124;20.72072072072072
ecoli;31.428571428571427;48.57142857142857;14.285714285714285;5.714285714285714
haberman;7.4074074074074066;39.50617283950617;34.5679012345679;18.51851851851852
hepatitis_mv;;15.625;65.625;18.75
scrotal_pain;50.847457627118644;30.508474576271187;13.559322033898304;5.084745762711865
solar-flareF;2.3255813953488373;27.906976744186046;30.23255813953488;39.53488372093023
transfusion;12.921348314606742;34.26966292134831;33.146067415730336;19.662921348314608
vehicle;43.21608040201005;39.19597989949749;12.562814070351758;5.025125628140704
yeast-ME2;5.88235294117647;29.411764705882355;33.33333333333333;31.372549019607842
