index;type;minority_decision;majority_decision
168;SAFE;6=>3;6=>2
169;SAFE;6=>3;6=>2
189;SAFE;6=>3;6=>2
190;SAFE;6=>3;6=>2
191;SAFE;6=>3;6=>2
64;BORDERLINE;6=>3;6=>2
192;SAFE;6=>3;6=>2
65;BORDERLINE;6=>3;6=>2
194;SAFE;6=>3;6=>2
195;SAFE;6=>3;6=>2
196;SAFE;6=>3;6=>2
197;SAFE;6=>3;6=>2
198;SAFE;6=>3;6=>2
199;SAFE;6=>3;6=>2
88;SAFE;6=>3;6=>2
90;SAFE;6=>3;6=>2
91;SAFE;6=>3;6=>2
94;SAFE;6=>3;6=>2
95;SAFE;6=>3;6=>2
96;SAFE;6=>3;6=>2
97;SAFE;6=>3;6=>2
98;SAFE;6=>3;6=>2
120;SAFE;6=>3;6=>2
121;SAFE;6=>3;6=>2
