index;type;minority_decision;majority_decision
707;BORDERLINE;4=>8;4=>7
264;OUTLIER;4=>8;4=>7
584;OUTLIER;4=>8;4=>7
267;RARE;4=>8;4=>7
587;BORDERLINE;4=>8;4=>7
12;RARE;4=>8;4=>7
396;BORDERLINE;4=>8;4=>7
975;OUTLIER;4=>8;4=>7
721;BORDERLINE;4=>8;4=>7
211;RARE;4=>8;4=>7
340;OUTLIER;4=>8;4=>7
213;OUTLIER;4=>8;4=>7
22;BORDERLINE;4=>8;4=>7
536;OUTLIER;4=>8;4=>7
730;BORDERLINE;4=>8;4=>7
797;RARE;4=>8;4=>7
30;BORDERLINE;4=>8;4=>7
32;BORDERLINE;4=>8;4=>7
160;BORDERLINE;4=>8;4=>7
992;OUTLIER;4=>8;4=>7
737;BORDERLINE;4=>8;4=>7
226;BORDERLINE;4=>8;4=>7
108;BORDERLINE;4=>8;4=>7
560;BORDERLINE;4=>8;4=>7
114;OUTLIER;4=>8;4=>7
757;BORDERLINE;4=>8;4=>7
374;BORDERLINE;4=>8;4=>7
507;BORDERLINE;4=>8;4=>7
828;BORDERLINE;4=>8;4=>7
638;OUTLIER;4=>8;4=>7
2;BORDERLINE;4=>7;4=>3
387;OUTLIER;4=>7;4=>3
771;BORDERLINE;4=>7;4=>3
5;SAFE;4=>7;4=>3
648;SAFE;4=>7;4=>3
776;BORDERLINE;4=>7;4=>3
904;RARE;4=>7;4=>3
266;SAFE;4=>7;4=>3
141;SAFE;4=>7;4=>3
399;SAFE;4=>7;4=>3
655;BORDERLINE;4=>7;4=>3
656;SAFE;4=>7;4=>3
273;RARE;4=>7;4=>3
146;RARE;4=>7;4=>3
404;RARE;4=>7;4=>3
408;BORDERLINE;4=>7;4=>3
25;BORDERLINE;4=>7;4=>3
410;BORDERLINE;4=>7;4=>3
925;RARE;4=>7;4=>3
542;BORDERLINE;4=>7;4=>3
287;SAFE;4=>7;4=>3
162;SAFE;4=>7;4=>3
290;SAFE;4=>7;4=>3
418;RARE;4=>7;4=>3
165;BORDERLINE;4=>7;4=>3
805;SAFE;4=>7;4=>3
38;SAFE;4=>7;4=>3
678;SAFE;4=>7;4=>3
681;SAFE;4=>7;4=>3
298;SAFE;4=>7;4=>3
939;BORDERLINE;4=>7;4=>3
172;OUTLIER;4=>7;4=>3
812;BORDERLINE;4=>7;4=>3
174;BORDERLINE;4=>7;4=>3
686;RARE;4=>7;4=>3
942;OUTLIER;4=>7;4=>3
432;SAFE;4=>7;4=>3
178;BORDERLINE;4=>7;4=>3
180;OUTLIER;4=>7;4=>3
437;OUTLIER;4=>7;4=>3
312;SAFE;4=>7;4=>3
440;SAFE;4=>7;4=>3
441;OUTLIER;4=>7;4=>3
314;BORDERLINE;4=>7;4=>3
316;RARE;4=>7;4=>3
572;SAFE;4=>7;4=>3
829;BORDERLINE;4=>7;4=>3
62;OUTLIER;4=>7;4=>3
318;BORDERLINE;4=>7;4=>3
320;OUTLIER;4=>7;4=>3
194;SAFE;4=>7;4=>3
199;BORDERLINE;4=>7;4=>3
456;SAFE;4=>7;4=>3
712;BORDERLINE;4=>7;4=>3
333;OUTLIER;4=>7;4=>3
589;SAFE;4=>7;4=>3
845;BORDERLINE;4=>7;4=>3
208;SAFE;4=>7;4=>3
466;SAFE;4=>7;4=>3
469;BORDERLINE;4=>7;4=>3
981;SAFE;4=>7;4=>3
86;SAFE;4=>7;4=>3
729;RARE;4=>7;4=>3
218;BORDERLINE;4=>7;4=>3
92;BORDERLINE;4=>7;4=>3
732;SAFE;4=>7;4=>3
351;RARE;4=>7;4=>3
738;OUTLIER;4=>7;4=>3
102;SAFE;4=>7;4=>3
231;SAFE;4=>7;4=>3
233;SAFE;4=>7;4=>3
361;BORDERLINE;4=>7;4=>3
489;OUTLIER;4=>7;4=>3
745;SAFE;4=>7;4=>3
234;SAFE;4=>7;4=>3
618;RARE;4=>7;4=>3
492;SAFE;4=>7;4=>3
620;BORDERLINE;4=>7;4=>3
751;SAFE;4=>7;4=>3
112;BORDERLINE;4=>7;4=>3
368;BORDERLINE;4=>7;4=>3
113;SAFE;4=>7;4=>3
885;SAFE;4=>7;4=>3
502;SAFE;4=>7;4=>3
889;BORDERLINE;4=>7;4=>3
123;SAFE;4=>7;4=>3
636;RARE;4=>7;4=>3
125;BORDERLINE;4=>7;4=>3
2;RARE;4=>7;4=>6
387;OUTLIER;4=>7;4=>6
771;BORDERLINE;4=>7;4=>6
5;BORDERLINE;4=>7;4=>6
648;BORDERLINE;4=>7;4=>6
776;BORDERLINE;4=>7;4=>6
904;SAFE;4=>7;4=>6
266;BORDERLINE;4=>7;4=>6
141;BORDERLINE;4=>7;4=>6
399;BORDERLINE;4=>7;4=>6
655;BORDERLINE;4=>7;4=>6
656;BORDERLINE;4=>7;4=>6
273;BORDERLINE;4=>7;4=>6
146;RARE;4=>7;4=>6
404;RARE;4=>7;4=>6
408;BORDERLINE;4=>7;4=>6
25;BORDERLINE;4=>7;4=>6
410;RARE;4=>7;4=>6
925;BORDERLINE;4=>7;4=>6
542;BORDERLINE;4=>7;4=>6
287;BORDERLINE;4=>7;4=>6
162;BORDERLINE;4=>7;4=>6
290;BORDERLINE;4=>7;4=>6
418;RARE;4=>7;4=>6
165;RARE;4=>7;4=>6
805;BORDERLINE;4=>7;4=>6
38;BORDERLINE;4=>7;4=>6
678;BORDERLINE;4=>7;4=>6
681;BORDERLINE;4=>7;4=>6
