index;type;minority_decision;majority_decision
1102;SAFE;11=>4;11=>3
1103;SAFE;11=>4;11=>3
1104;SAFE;11=>4;11=>3
1105;SAFE;11=>4;11=>3
1106;SAFE;11=>4;11=>3
1107;SAFE;11=>4;11=>3
1108;OUTLIER;11=>4;11=>3
1109;SAFE;11=>4;11=>3
1110;SAFE;11=>4;11=>3
1111;SAFE;11=>4;11=>3
1112;SAFE;11=>4;11=>3
1113;SAFE;11=>4;11=>3
1114;SAFE;11=>4;11=>3
1115;SAFE;11=>4;11=>3
1116;SAFE;11=>4;11=>3
1117;SAFE;11=>4;11=>3
1118;SAFE;11=>4;11=>3
1119;SAFE;11=>4;11=>3
1120;SAFE;11=>4;11=>3
1121;SAFE;11=>4;11=>3
1122;SAFE;11=>4;11=>3
1123;SAFE;11=>4;11=>3
1124;SAFE;11=>4;11=>3
1125;SAFE;11=>4;11=>3
1126;SAFE;11=>4;11=>3
1127;SAFE;11=>4;11=>3
1128;SAFE;11=>4;11=>3
1129;SAFE;11=>4;11=>3
1130;SAFE;11=>4;11=>3
1131;SAFE;11=>4;11=>3
1132;SAFE;11=>4;11=>3
1133;SAFE;11=>4;11=>3
1134;SAFE;11=>4;11=>3
1135;SAFE;11=>4;11=>3
1136;SAFE;11=>4;11=>3
1137;SAFE;11=>4;11=>3
1138;SAFE;11=>4;11=>3
1139;SAFE;11=>4;11=>3
1140;SAFE;11=>4;11=>3
1141;SAFE;11=>4;11=>3
1142;SAFE;11=>4;11=>3
1143;SAFE;11=>4;11=>3
1144;SAFE;11=>4;11=>3
1145;SAFE;11=>4;11=>3
1146;SAFE;11=>4;11=>3
1147;SAFE;11=>4;11=>3
1148;SAFE;11=>4;11=>3
1149;SAFE;11=>4;11=>3
1150;SAFE;11=>4;11=>3
1151;SAFE;11=>4;11=>3
1152;SAFE;11=>4;11=>3
1153;SAFE;11=>4;11=>3
1154;SAFE;11=>4;11=>3
1155;OUTLIER;11=>4;11=>3
1156;SAFE;11=>4;11=>3
1157;SAFE;11=>4;11=>3
1158;SAFE;11=>4;11=>3
1159;SAFE;11=>4;11=>3
1160;OUTLIER;11=>4;11=>3
1161;SAFE;11=>4;11=>3
1162;SAFE;11=>4;11=>3
1163;SAFE;11=>4;11=>3
1164;SAFE;11=>4;11=>3
1165;SAFE;11=>4;11=>3
1166;SAFE;11=>4;11=>3
1167;SAFE;11=>4;11=>3
1168;SAFE;11=>4;11=>3
1169;SAFE;11=>4;11=>3
1170;SAFE;11=>4;11=>3
1171;SAFE;11=>4;11=>3
1172;SAFE;11=>4;11=>3
1173;SAFE;11=>4;11=>3
1174;SAFE;11=>4;11=>3
1175;SAFE;11=>4;11=>3
1176;SAFE;11=>4;11=>3
1177;SAFE;11=>4;11=>3
1178;SAFE;11=>4;11=>3
1179;SAFE;11=>4;11=>3
1180;SAFE;11=>4;11=>3
1181;SAFE;11=>4;11=>3
1182;SAFE;11=>4;11=>3
1183;SAFE;11=>4;11=>3
1184;SAFE;11=>4;11=>3
1185;SAFE;11=>4;11=>3
1186;SAFE;11=>4;11=>3
1187;SAFE;11=>4;11=>3
1188;SAFE;11=>4;11=>3
1189;SAFE;11=>4;11=>3
1190;SAFE;11=>4;11=>3
1191;SAFE;11=>4;11=>3
1192;SAFE;11=>4;11=>3
1193;SAFE;11=>4;11=>3
1194;SAFE;11=>4;11=>3
1195;SAFE;11=>4;11=>3
1196;SAFE;11=>4;11=>3
1197;SAFE;11=>4;11=>3
1198;SAFE;11=>4;11=>3
1199;SAFE;11=>4;11=>3
1200;SAFE;11=>4;11=>3
1201;SAFE;11=>4;11=>3
1202;SAFE;11=>4;11=>3
1203;SAFE;11=>4;11=>3
1204;SAFE;11=>4;11=>3
1205;SAFE;11=>4;11=>3
1206;SAFE;11=>4;11=>3
1207;SAFE;11=>4;11=>3
1208;SAFE;11=>4;11=>3
1209;OUTLIER;11=>4;11=>3
1210;OUTLIER;11=>4;11=>3
1211;SAFE;11=>4;11=>3
1212;SAFE;11=>4;11=>3
1213;SAFE;11=>4;11=>3
1214;SAFE;11=>4;11=>3
1215;SAFE;11=>4;11=>3
1216;SAFE;11=>4;11=>3
1217;SAFE;11=>4;11=>3
1218;SAFE;11=>4;11=>3
1219;SAFE;11=>4;11=>3
1220;SAFE;11=>4;11=>3
1221;SAFE;11=>4;11=>3
1222;SAFE;11=>4;11=>3
1223;SAFE;11=>4;11=>3
1224;SAFE;11=>4;11=>3
1225;SAFE;11=>4;11=>3
1226;SAFE;11=>4;11=>3
1227;SAFE;11=>4;11=>3
1228;SAFE;11=>4;11=>3
1229;SAFE;11=>4;11=>3
1230;SAFE;11=>4;11=>3
1231;SAFE;11=>4;11=>3
1232;SAFE;11=>4;11=>3
1233;SAFE;11=>4;11=>3
1234;SAFE;11=>4;11=>3
1235;SAFE;11=>4;11=>3
1236;SAFE;11=>4;11=>3
1237;SAFE;11=>4;11=>3
1238;SAFE;11=>4;11=>3
1239;SAFE;11=>4;11=>3
1240;SAFE;11=>4;11=>3
1241;SAFE;11=>4;11=>3
1242;SAFE;11=>4;11=>3
1243;SAFE;11=>4;11=>3
1244;SAFE;11=>4;11=>3
1245;SAFE;11=>4;11=>3
1246;SAFE;11=>4;11=>3
1247;SAFE;11=>4;11=>3
1248;SAFE;11=>4;11=>3
1249;SAFE;11=>4;11=>3
1250;SAFE;11=>4;11=>3
1251;SAFE;11=>4;11=>3
1252;SAFE;11=>4;11=>3
1253;SAFE;11=>4;11=>3
1254;SAFE;11=>4;11=>3
1255;SAFE;11=>4;11=>3
1256;SAFE;11=>4;11=>3
1257;SAFE;11=>4;11=>3
1258;SAFE;11=>4;11=>3
1259;SAFE;11=>4;11=>3
1260;SAFE;11=>4;11=>3
1261;SAFE;11=>4;11=>3
1262;SAFE;11=>4;11=>3
1263;SAFE;11=>4;11=>3
1264;SAFE;11=>4;11=>3
1265;SAFE;11=>4;11=>3
1266;SAFE;11=>4;11=>3
1267;SAFE;11=>4;11=>3
1268;SAFE;11=>4;11=>3
1269;SAFE;11=>4;11=>3
1270;SAFE;11=>4;11=>3
1271;SAFE;11=>4;11=>3
1272;SAFE;11=>4;11=>3
1273;SAFE;11=>4;11=>3
1274;SAFE;11=>4;11=>3
1275;SAFE;11=>4;11=>3
1276;SAFE;11=>4;11=>3
1277;SAFE;11=>4;11=>3
1278;SAFE;11=>4;11=>3
1279;SAFE;11=>4;11=>3
1280;SAFE;11=>4;11=>3
1281;SAFE;11=>4;11=>3
1282;SAFE;11=>4;11=>3
1283;SAFE;11=>4;11=>3
1284;SAFE;11=>4;11=>3
1285;OUTLIER;11=>4;11=>3
