name;safe;borderline;rare;outlier
abalone;;;63.28358208955224;36.71641791044776
breast-cancer_nmo;12.941176470588237;32.94117647058823;44.70588235294118;9.411764705882353
car;47.82608695652174;34.78260869565217;17.391304347826086;
cleveland_nm;;;14.285714285714285;85.71428571428571
cmc;2.7027027027027026;45.645645645645644;35.13513513513514;16.516516516516518
ecoli;17.142857142857142;68.57142857142857;5.714285714285714;8.571428571428571
haberman;3.7037037037037033;33.33333333333333;53.086419753086425;9.876543209876543
hepatitis_mv;;9.375;78.125;12.5
scrotal_pain;25.423728813559322;28.8135593220339;37.28813559322034;8.47457627118644
solar-flareF;6.976744186046512;13.953488372093023;32.55813953488372;46.51162790697674
transfusion;2.247191011235955;24.719101123595504;70.2247191011236;2.8089887640449436
vehicle;26.13065326633166;52.76381909547738;13.5678391959799;7.537688442211055
yeast-ME2;9.803921568627452;19.607843137254903;27.450980392156865;43.13725490196079
