name;safe;borderline;rare;outlier
abalone;8.656716417910449;19.1044776119403;21.791044776119403;50.44776119402985
breast-cancer_nmo;23.52941176470588;27.058823529411764;34.11764705882353;15.294117647058824
car;47.82608695652174;39.130434782608695;8.695652173913043;4.3478260869565215
cleveland_nm;;25.71428571428571;22.857142857142858;51.42857142857142
cmc;17.71771771771772;41.14114114114114;21.62162162162162;19.51951951951952
ecoli;28.57142857142857;51.42857142857142;5.714285714285714;14.285714285714285
haberman;4.938271604938271;56.79012345679012;23.456790123456788;14.814814814814813
hepatitis_mv;37.5;40.625;6.25;15.625
scrotal_pain;38.983050847457626;44.06779661016949;11.864406779661017;5.084745762711865
solar-flareF;;46.51162790697674;13.953488372093023;39.53488372093023
transfusion;18.53932584269663;42.13483146067416;16.292134831460675;23.03370786516854
vehicle;74.37185929648241;24.120603015075375;0.5025125628140703;1.0050251256281406
yeast-ME2;5.88235294117647;43.13725490196079;11.76470588235294;39.21568627450981
