65,4.28,4.28,60.41,3.49,2.9,2.24,7.14,44.59,6.3,7.24,1
66,1.17,1.04,51.41,25.73,7.67,5.03,9.89,0,32.12,35.37,1
67,4.08,2.13,62.27,18.85,23.33,20.19,16.65,35.95,19.83,25.75,1
68,1.82,1.79,31.54,5.62,3.13,2.29,43.04,26.71,9.98,14.99,1
69,2.16,0.91,70.12,10.7,8.51,18.08,46.55,48.12,11.33,14.1,1
70,2.96,1.15,69.55,12.14,12.2,40.48,37.68,33.18,12.45,16.23,1
71,3.57,2.66,72.21,13.55,20.44,24.72,9.94,26.12,14.13,17.54,1
72,2.67,1.93,67.02,13.55,20.53,24.71,9.94,26.12,14.12,17.54,1
73,2.41,1.75,54.2,7.98,6.71,6.88,21.94,31.32,9.34,18.48,1
74,1.09,1.04,60.88,8.25,8.29,7,28.33,25.25,9.62,16.87,1
75,3.48,3,60.09,83.98,43.78,182.32,19.12,26.28,84.44,89.74,1
76,1.69,1.32,58.37,7.45,8.45,13.4,42.28,22.91,8.05,14.2,1
77,1.92,1.91,55.17,18.43,8.24,7.22,8.3,0,21.39,33.6,1
78,1.73,1.63,42.19,31.35,14.34,0,18.99,45.93,31.35,44.85,1
79,2.85,1.64,67.39,7.64,14.82,42.87,32.44,39.04,7.82,9.83,1
80,2.27,1.34,52.5,4.05,4.76,3.3,34.86,32.08,5.81,12.05,1
81,3.54,2.73,57.05,1.39,1.32,1.42,12.49,23.91,4.72,8.08,1
82,2.1,1.2,35.51,17.63,26.62,55.19,27.68,39.32,17.95,20.64,1
83,0.18,0.18,52.94,15.52,2.31,1.79,15.1,93.4,35.18,41.39,1
84,3.2,2.23,76.2,6.37,6.44,38.6,31.22,57.71,6.53,10.31,1
85,1.82,1.14,61.21,25.13,32.51,38.82,29.2,47.38,25.79,32.39,1
86,2.15,1.95,55.3,5.19,19.52,10.97,10.7,13.2,5.71,7.98,1
87,0.96,0.76,52.68,7.52,9.28,9.94,27.51,14.71,8.36,13.31,2
88,0.37,0.2,57.21,2.82,5.94,12.14,26.5,6.68,3.07,5.1,2
89,1,0.68,32.45,20.71,12.63,5.54,23.26,0,25.27,27.89,2
90,1.31,1.1,41.59,10.71,13.07,10.53,10.13,17.45,11.83,18.42,2
91,0.79,0.54,36.58,24.36,10.2,6.11,26.3,0,29.12,40.52,2
92,1.45,0.9,52.39,11.18,15.47,12.28,24.67,47.68,12.17,15.77,2
93,1.53,1.02,45.23,5.78,8.08,9.28,35.31,11.97,6.47,8.61,2
94,1.76,1.01,49.08,3.24,9.45,10.22,12.66,6.5,3.6,4.74,2
95,0.79,0.69,22.88,13.76,15.78,7.69,12.68,14.84,15.82,22.66,2
96,1.17,0.66,57.3,2.09,3.35,3.28,26.21,31.72,3.01,5.65,2
97,1.54,1.33,39.13,7.2,3.96,2.56,31.45,0,11.83,19.37,2
98,1.51,1.34,30.19,8,16.7,10.44,4.92,12.76,8.84,9.71,2
99,1.53,0.92,38.62,4.4,5.89,2.56,30.28,0,7.22,10.79,2
100,1.69,1.23,43.16,7.84,10.31,6.77,25.63,100,9.19,13.37,2
101,1.17,0.57,52.26,8.55,16.2,33.13,30.39,37.23,8.81,10.64,2
102,2.63,2.37,43.35,2.05,1.5,1.48,49.47,0,6.29,11.91,2
103,0.8,0.6,40.57,16.3,10.65,6.01,17.28,0,19.56,26.55,2
104,1.48,0.92,42.96,6.99,4.55,2.81,29.79,17.5,10.85,15.5,2
105,1.42,0.79,25.02,6.52,5.7,3.64,32.05,28.13,8.98,16.51,2
106,1.84,1.31,61.01,2.33,4.86,5.93,10.52,0,2.8,5.1,2
107,2.32,0.41,57.28,9.46,8.68,6.9,35.52,17.11,11.06,12.11,2
108,0.49,0.43,54.25,0.35,0.2,1.1,21.09,23.15,3.73,10.19,2
109,1.64,1.42,48.77,1.81,1.94,12.9,31.15,30.46,1.96,2.25,2
110,0.48,0.39,38.68,12.05,3.65,2.38,9.4,0,20.76,37.92,2
111,0.9,0.77,35.05,-2.17,-0.7,0.82,59.91,0,9.98,22.56,2
112,3.34,0.21,71.33,5.17,5,6.15,38.75,16.37,6.18,9.08,2
113,1.6,1.59,58.37,4.68,10,22.43,30.02,49.81,4.9,9.42,2
114,0.88,0.7,73.05,1.36,1.24,2.99,23.45,75.43,2.04,7.82,2
115,0.33,0.29,61.95,3.21,2.8,4,11.72,35.2,4.28,10.64,2
116,1.09,1.09,61.61,3.58,2.3,1.36,16.34,37.46,13.47,14.63,2
117,1.5,1.26,54.67,3.65,7.95,8.21,39.91,45.54,4.15,8.24,2
118,1.42,1.36,46.63,1.24,2.31,1.77,2.9,32.62,2.84,8.07,2
119,1.22,0.69,47.64,6.49,8.81,11.15,45.36,17.89,7.12,11.81,2
120,1.57,1.12,60.68,1.05,1.39,2.23,66.76,24.87,1.91,5.88,2
121,1.87,1.87,42.97,14.69,25.97,37.71,20.5,48.98,15.09,15.79,2
122,0.91,0.89,58.94,7.98,10.72,16.53,31.25,25.28,8.5,8.64,2
123,0.68,0.65,56.62,14.36,15.73,40.55,12.92,47.48,14.72,23.04,2
124,1.7,0.91,44.61,5.38,8.31,8.87,38.08,25.86,6.07,7.22,2
125,0.59,0.37,49.49,0.1,0.37,1.11,12.81,2.37,1.01,1.43,2
126,2.01,1.8,59.18,-4.75,-4.81,-7.44,17,21.2,-4.19,1.88,2
127,0.97,0.52,38.96,7.73,3.13,2.26,30,33.35,13.85,24.12,2
128,1.66,1.48,4.18,16.53,6.08,2.15,13.97,35.35,30.93,41.56,2
129,1.74,1.54,36.6,9.46,8.88,4.5,19.48,20.49,12.16,20.8,2
130,1.53,0.68,51.95,0.96,1.54,1.48,27.93,10.06,2.96,5.16,2
131,1.48,1.14,36,-0.04,-0.03,0.99,29.35,0,3.76,16.02,2
132,1.72,1.33,58.37,1.69,4.37,5.96,17.34,16.04,2.03,4.85,2
133,1.3,1.04,32.43,-11.18,-3.07,0.25,55.89,0,3.82,24.12,2
134,1.81,1.4,51.83,3.96,5.48,4.91,5.11,20.91,4.97,9.12,2
