name;safe;borderline;rare;outlier
balance_scale;81.94444444444444;18.055555555555554;;
breast-w;80.08298755186722;7.053941908713693;0.8298755186721992;12.033195020746888
car;76.878612716763;8.670520231213873;;14.450867052023122
cpu;58.252427184466015;10.194174757281553;9.70873786407767;21.844660194174757
dataset1_noid;;;2.7522935779816518;97.24770642201835
dataset3;68.75934230194319;2.8400597907324365;0.07473841554559044;28.325859491778775
denbosch;23.728813559322035;18.64406779661017;52.54237288135594;5.084745762711865
ERA_n;20.830750154990703;58.7724736515809;12.585244885306881;7.811531308121513
ESL_n;46.92028985507246;21.73913043478261;7.065217391304348;24.27536231884058
housing;35.2589641434263;37.45019920318725;13.545816733067728;13.745019920318724
LEV_n;45.32775453277546;29.288702928870293;14.783821478382148;10.599721059972106
SWD_n;36.65086887835703;39.02053712480253;15.797788309636651;8.530805687203792
windsor;28.7292817679558;52.67034990791897;11.049723756906078;7.550644567219153
