name;safe;borderline;rare;outlier
balance_scale;70.53669222343922;23.877327491785323;0.6571741511500547;4.928806133625411
breast-w;97.16157205240175;0.43668122270742354;1.0917030567685588;1.3100436681222707
car;88.79310344827587;8.405172413793103;1.3649425287356323;1.4367816091954022
cpu;73.96825396825398;17.46031746031746;4.444444444444445;4.1269841269841265
dataset1_noid;44.03669724770643;24.770642201834864;9.174311926605505;22.018348623853214
dataset3;98.33633093525181;1.393884892086331;0.2697841726618705;
denbosch;80.0;11.666666666666666;3.3333333333333335;5.0
ERA_n;1.1325028312570782;27.40656851642129;33.23895809739524;38.221970554926386
ESL_n;36.278586278586275;40.74844074844075;11.01871101871102;11.954261954261955
housing;29.56636005256242;36.925098554533506;20.893561103810775;12.614980289093298
LEV_n;32.20651505838967;41.73325138291334;14.07498463429625;11.985248924400738
SWD_n;25.556930693069308;47.648514851485146;16.707920792079207;10.086633663366337
windsor;15.055079559363524;42.10526315789473;27.294981640146883;15.54467564259486
