name;safe;borderline;rare;outlier
balance_scale;79.73713033953997;14.895947426067908;;5.3669222343921135
breast-w;87.33624454148472;;;12.663755458515283
car;97.3419540229885;2.3706896551724137;0.21551724137931033;0.07183908045977011
cpu;73.65079365079366;15.238095238095239;6.984126984126984;4.1269841269841265
dataset1_noid;;;2.7522935779816518;97.24770642201835
dataset3;79.00179856115108;17.35611510791367;;3.642086330935252
denbosch;75.0;8.333333333333332;3.3333333333333335;13.333333333333334
ERA_n;36.07021517553794;48.5277463193658;9.343148357870895;6.058890147225368
ESL_n;56.34095634095634;19.334719334719335;0.5197505197505198;23.804573804573806
housing;46.254927726675426;28.777923784494085;10.64388961892247;14.323258869908015
LEV_n;50.95267363245236;37.18500307314075;5.47019053472649;6.392132759680394
SWD_n;49.07178217821782;35.51980198019802;9.034653465346535;6.373762376237623
windsor;39.290085679314565;42.10526315789473;10.281517747858016;8.32313341493268
