name;safe;borderline;rare;outlier
balance_scale;73.26388888888889;26.38888888888889;0.3472222222222222;
breast-w;89.62655601659752;9.95850622406639;;0.4149377593360996
car;76.49325626204238;20.809248554913296;0.5780346820809248;2.119460500963391
cpu;78.15533980582524;13.106796116504855;5.339805825242718;3.3980582524271843
dataset1_noid;44.03669724770643;24.770642201834864;9.174311926605505;22.018348623853214
dataset3;98.20627802690582;1.5695067264573992;0.2242152466367713;
denbosch;79.66101694915254;13.559322033898304;6.779661016949152;
ERA_n;0.6199628022318662;31.494110353378797;29.200247985120892;38.68567885926845
ESL_n;27.898550724637683;42.391304347826086;11.956521739130435;17.753623188405797
housing;36.852589641434264;33.266932270916335;19.322709163346612;10.557768924302788
LEV_n;32.49651324965133;33.33333333333333;16.457461645746164;17.712691771269178
SWD_n;29.225908372827803;38.072669826224335;17.377567140600316;15.323854660347552
windsor;22.099447513812155;43.278084714548804;21.36279926335175;13.259668508287293
