name;safe;borderline;rare;outlier
flower5-3d-10-20-35-35;10.638297872340425;30.319148936170215;24.46808510638298;34.57446808510639
flower5-3d-100-0-0-0;82.4468085106383;14.893617021276595;1.5957446808510638;1.0638297872340425
flower5-3d-30-40-15-15;53.191489361702125;29.78723404255319;2.127659574468085;14.893617021276595
flower5-3d-30-70-0-0;72.87234042553192;23.93617021276596;;3.1914893617021276
flower5-3d-50-50-0-0;79.7872340425532;19.148936170212767;0.5319148936170213;0.5319148936170213
paw3-3d-10-20-35-35;10.666666666666668;20.666666666666668;33.33333333333333;35.333333333333336
paw3-3d-100-0-0-0;72.66666666666667;26.666666666666668;0.6666666666666667;
paw3-3d-30-40-15-15;42.66666666666667;34.0;7.333333333333333;16.0
paw3-3d-30-70-0-0;48.0;44.0;2.0;6.0
paw3-3d-50-50-0-0;60.66666666666667;36.666666666666664;2.666666666666667;
