name;safe;borderline;rare;outlier
flower5-3d-10-20-35-35;19.680851063829788;10.638297872340425;35.1063829787234;34.57446808510639
flower5-3d-100-0-0-0;83.51063829787235;16.48936170212766;;
flower5-3d-30-40-15-15;50.53191489361703;19.680851063829788;14.893617021276595;14.893617021276595
flower5-3d-30-70-0-0;73.40425531914893;26.595744680851062;;
flower5-3d-50-50-0-0;79.25531914893617;20.74468085106383;;
paw3-3d-10-20-35-35;12.666666666666668;17.333333333333336;34.66666666666667;35.333333333333336
paw3-3d-100-0-0-0;72.0;27.333333333333332;0.6666666666666667;
paw3-3d-30-40-15-15;44.666666666666664;24.666666666666668;15.333333333333332;15.333333333333332
paw3-3d-30-70-0-0;52.666666666666664;46.666666666666664;0.6666666666666667;
paw3-3d-50-50-0-0;61.33333333333333;38.666666666666664;;
